precio;superficie;habitaciones;ascensor;banos;aire_acond;balcon;terraza;renta;longevidad;educ_sup;presion_mig;hospital;metro;universidad;autobus_interurbano;autobus_local;policia_local
220000;58;2;0;2;1;0;0;14726;21.862;488.023.952;8.358.209;0.389263426732146;1.588.682.356.332;0.399903312069642;118.225.517.332.611;0.829220916199133;0.631126454429746
164000;56;1;1;1;0;0;0;9592;28.975;173.515.982;73.226.545;0.162919811791504;356.175.078.495.172;0.893288724809956;195.145.468.204.119;0.0998848764066724;102.769.991.256.918
475500;195;4;0;3;0;0;0;12916;8.66;338.006.231;26.438.569;162.870.280.033.944;406.253.412.597.973;0.720698167495062;371.774.512.630.643;103.217.864.544.993;160.984.723.379.866
275000;55;1;1;1;1;0;0;17054;32.558;483.805.668;28.282.828;0.514266816934555;0.427096919355486;0.174621820555937;101.771.089.010.029;0.202642520342033;0.581702462506748
196000;68;1;0;1;0;0;0;12916;8.66;338.006.231;26.438.569;166.640.645.372.279;420.424.436.812.555;0.891918727709542;387.525.513.538.217;112.627.093.830.196;15.871.104.604.593
157500;75;2;1;2;0;1;0;9276;30;188.596.491;82.969.432;0.284192910695555;0.318611988517733;106.365.319.276.523;142.537.943.857.489;0.979328575958685;0.368930304949396
260000;59;2;0;1;1;1;1;14806;22.238;476.388.889;80.555.556;0.384078710683039;200.074.659.135.162;0.616989334798014;148.870.084.879.728;0.421774993030772;0.358886285223705
289000;93;2;1;1;0;0;1;14184;35.822;355.491.329;26.011.561;0.0241650372809171;0.67320581943878;0.825780102769078;126.287.345.825.372;0.669035996102946;0.724636155966014
225000;89;3;1;2;0;0;1;6197;10.911;91.836.735;28.061.224;0.742373291773938;493.721.726.029.208;495.562.665.709.925;0.526482294108181;181.936.419.829.046;177.490.352.100.814
230000;71;3;0;1;1;0;1;16753;37.137;441.717.791;24.539.877;0.415262421330999;0.476904075998425;0.481758938103081;119.270.675.215.919;0.3936461534853;0.539354965123818
164990;65;2;0;2;1;0;0;14330;19.084;418.181.818;72.727.273;0.387120359946919;253.373.772.435.078;247.907.954.298.637;150.316.781.941.246;129.822.711.191.645;12.948.396.324.399
